stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,stop_timezone,wheelchair_boarding,stp_has_shelter
10746,10746,"Washington Ave & 7th St",,42.658519,-73.727336,0,https://www.cdta.org/schedules-stop-detail?stop_id=10746,0,America/New_York,1,0
10747,10747,"Van Rensselaer Heights",,42.65937,-73.72884,0,https://www.cdta.org/schedules-stop-detail?stop_id=10747,0,America/New_York,1,0
10751,10751,"Washington Ave & 9th St",,42.659785,-73.723196,0,https://www.cdta.org/schedules-stop-detail?stop_id=10751,0,America/New_York,1,0
10752,10752,"620 Washington Ave",,42.65969,-73.71916,0,https://www.cdta.org/schedules-stop-detail?stop_id=10752,0,America/New_York,1,0
10755,10755,"Washington Ave & Haztel Terr",,42.65715,-73.71222,0,https://www.cdta.org/schedules-stop-detail?stop_id=10755,0,America/New_York,1,0
10757,10757,"Washington Ave & Quay St",,42.656615,-73.711264,0,https://www.cdta.org/schedules-stop-detail?stop_id=10757,0,America/New_York,1,0
10759,10759,"Washington Ave & Maryland Ave",,42.655515,-73.709326,0,https://www.cdta.org/schedules-stop-detail?stop_id=10759,0,America/New_York,1,0
10761,10761,"Washington Ave & Wisconsin Ave",,42.65506,-73.70783,0,https://www.cdta.org/schedules-stop-detail?stop_id=10761,0,America/New_York,1,0
10763,10763,"Washington Ave & Michigan Ave",,42.65489,-73.70602,0,https://www.cdta.org/schedules-stop-detail?stop_id=10763,0,America/New_York,1,0
10765,10765,"Washington Ave & Lindbergh Ave",,42.65476,-73.70426,0,https://www.cdta.org/schedules-stop-detail?stop_id=10765,0,America/New_York,1,0
10767,10767,"600 Rt 4 (Home Depot)",,42.647148,-73.697667,0,https://www.cdta.org/schedules-stop-detail?stop_id=10767,0,America/New_York,1,0
10770,10770,"Walmart - Rensselaer Plaza - Side",,42.64245,-73.700973,0,https://www.cdta.org/schedules-stop-detail?stop_id=10770,0,America/New_York,1,1
10771,10771,"Washington Ave & Laura Cl",,42.654041,-73.697559,0,https://www.cdta.org/schedules-stop-detail?stop_id=10771,0,America/New_York,1,0
10773,10773,"Washington Ave & Woodland Ave",,42.65494,-73.70590,0,https://www.cdta.org/schedules-stop-detail?stop_id=10773,0,America/New_York,1,0
10774,10774,"Washington Ave & Birchwood Ave",,42.65513,-73.70774,0,https://www.cdta.org/schedules-stop-detail?stop_id=10774,0,America/New_York,1,0
10776,10776,"Washington Ave & Delaware Ave",,42.65588,-73.70987,0,https://www.cdta.org/schedules-stop-detail?stop_id=10776,0,America/New_York,1,0
10777,10777,"Washington Ave & Quay St",,42.656504,-73.710961,0,https://www.cdta.org/schedules-stop-detail?stop_id=10777,0,America/New_York,1,0
10778,10778,"Washington Ave & Rockefeller St",,42.65747,-73.71272,0,https://www.cdta.org/schedules-stop-detail?stop_id=10778,0,America/New_York,1,0
10781,10781,"Entrance to St. Francis Heights",,42.65976,-73.71919,0,https://www.cdta.org/schedules-stop-detail?stop_id=10781,0,America/New_York,1,0
10782,10782,"Washington Ave & Manor Dr",,42.65953,-73.72454,0,https://www.cdta.org/schedules-stop-detail?stop_id=10782,0,America/New_York,1,0
10783,10783,"Washington Ave & Forbes Ave",,42.65870,-73.72694,0,https://www.cdta.org/schedules-stop-detail?stop_id=10783,0,America/New_York,1,0
10785,10785,"Washington Ave & 4th St",,42.65786,-73.72961,0,https://www.cdta.org/schedules-stop-detail?stop_id=10785,0,America/New_York,1,0
10798,10798,"East St & Willow St",,42.64384,-73.73933,0,https://www.cdta.org/schedules-stop-detail?stop_id=10798,0,America/New_York,1,0
10799,10799,"East St & Wendell St",,42.64257,-73.73973,0,https://www.cdta.org/schedules-stop-detail?stop_id=10799,0,America/New_York,1,0
10800,10800,"Rensselaer Rail Station",,42.64075,-73.74020,0,https://www.cdta.org/schedules-stop-detail?stop_id=10800,0,America/New_York,1,1
10801,10801,"East St & Fourth St",,42.63946,-73.74067,0,https://www.cdta.org/schedules-stop-detail?stop_id=10801,0,America/New_York,1,1
10802,10802,"East St & Adams St",,42.63803,-73.74109,0,https://www.cdta.org/schedules-stop-detail?stop_id=10802,0,America/New_York,1,0
10806,10806,"Columbia Tpke & Aldi Store",,42.63372,-73.74572,0,https://www.cdta.org/schedules-stop-detail?stop_id=10806,0,America/New_York,1,0
